ACUERD_EJECUT,FUENTE_FINANC,NOMB_FUEN_FINA,MONTO
1844.0,1,Fondo General,-799999.9999999994
1929.0,1,Fondo General,-3567675.0
1990.0,1,Fondo General,-5764503.000000003
2009.0,1,Fondo General,-544433.9999999999
